target,ligand,seed,affinity
enpp2,CHEMBL5826130,4,-7.4
enpp1,CHEMBL5555976,4,-8.2
enpp1,CHEMBL6149286,4,-8.8
enpp2,CHEMBL5915707,4,-6.8
enpp1,CHEMBL6174154,4,-8.8
enpp2,CHEMBL5555976,4,-8.2
enpp1,TZV_native,4,-8.8
enpp2,CHEMBL6149286,4,-9.4
enpp2,CHEMBL5826130,4,-7.4
enpp2,CHEMBL6174154,4,-8.8
enpp2,CHEMBL5915707,4,-6.8
enpp2,TZV_native,4,-8.5
enpp2,CHEMBL5555976,4,-8.2
enpp3,CHEMBL5826130,4,-7.7
enpp2,CHEMBL6149286,4,-9.4
enpp3,CHEMBL5915707,4,-7.5
enpp2,CHEMBL6174154,4,-8.8
enpp3,CHEMBL5555976,4,-7.7
enpp2,TZV_native,4,-8.5
enpp3,CHEMBL6149286,4,-11.0
enpp3,CHEMBL6174154,4,-10.3
enpp3,CHEMBL5826130,4,-7.7
enpp3,TZV_native,4,-9.9
enpp3,CHEMBL5915707,4,-7.5
enpp1,CHEMBL5826130,5,-7.9
enpp3,CHEMBL5555976,4,-7.7
enpp1,CHEMBL5915707,5,-7.9
enpp3,CHEMBL6149286,4,-11.0
enpp3,CHEMBL6174154,4,-10.3
enpp1,CHEMBL5555976,5,-8.2
enpp3,TZV_native,4,-9.9
enpp1,CHEMBL6149286,5,-9.3
enpp1,CHEMBL6174154,5,-8.8
enpp1,CHEMBL5826130,5,-7.9
enpp1,TZV_native,5,-9.1
enpp1,CHEMBL5915707,5,-7.9
enpp2,CHEMBL5826130,5,-7.3
enpp1,CHEMBL5555976,5,-8.2
enpp2,CHEMBL5915707,5,-6.7
enpp1,CHEMBL6149286,5,-9.3
enpp1,CHEMBL6174154,5,-8.8
enpp2,CHEMBL5555976,5,-8.2
enpp1,TZV_native,5,-9.1
enpp2,CHEMBL6149286,5,-10.1
enpp2,CHEMBL5826130,5,-7.3
enpp2,CHEMBL6174154,5,-8.7
enpp2,CHEMBL5915707,5,-6.7
enpp2,TZV_native,5,-8.5
enpp2,CHEMBL5555976,5,-8.2
enpp3,CHEMBL5826130,5,-7.7
enpp2,CHEMBL6149286,5,-10.1
enpp3,CHEMBL5915707,5,-7.5
enpp2,CHEMBL6174154,5,-8.7
enpp3,CHEMBL5555976,5,-7.7
enpp2,TZV_native,5,-8.5
enpp3,CHEMBL6149286,5,-11.0
enpp3,CHEMBL6174154,5,-10.1
enpp3,CHEMBL5826130,5,-7.7
enpp3,TZV_native,5,-9.9
enpp3,CHEMBL5915707,5,-7.5
enpp1,CHEMBL5826130,6,-7.8
enpp3,CHEMBL5555976,5,-7.7
enpp1,CHEMBL5915707,6,-7.9
enpp3,CHEMBL6149286,5,-11.0
enpp3,CHEMBL6174154,5,-10.1
enpp1,CHEMBL5555976,6,-8.2
enpp3,TZV_native,5,-9.9
enpp1,CHEMBL6149286,6,-9.0
enpp1,CHEMBL6174154,6,-8.8
enpp1,CHEMBL5826130,6,-7.8
enpp1,TZV_native,6,-9.1
enpp1,CHEMBL5915707,6,-7.9
enpp2,CHEMBL5826130,6,-7.3
enpp1,CHEMBL5555976,6,-8.2
enpp2,CHEMBL5915707,6,-6.7
enpp1,CHEMBL6149286,6,-9.0
enpp1,CHEMBL6174154,6,-8.8
enpp2,CHEMBL5555976,6,-8.2
enpp1,TZV_native,6,-9.1
enpp2,CHEMBL6149286,6,-10.1
enpp2,CHEMBL5826130,6,-7.3
enpp2,CHEMBL6174154,6,-8.8
enpp2,CHEMBL5915707,6,-6.7
enpp2,TZV_native,6,-8.6
enpp2,CHEMBL5555976,6,-8.2
enpp3,CHEMBL5826130,6,-7.7
enpp2,CHEMBL6149286,6,-10.1
