target,ligand,seed,affinity
enpp1,CHEMBL5915707,18,-7.9
enpp2,CHEMBL5826130,18,-7.3
enpp1,CHEMBL5555976,18,-8.2
enpp2,CHEMBL5915707,18,-6.7
enpp1,CHEMBL6149286,18,-9.3
enpp1,CHEMBL6174154,18,-9.1
enpp2,CHEMBL5555976,18,-8.2
enpp1,TZV_native,18,-8.9
enpp2,CHEMBL6149286,18,-10.1
enpp2,CHEMBL5826130,18,-7.3
enpp2,CHEMBL6174154,18,-8.8
enpp2,TZV_native,18,-8.3
enpp2,CHEMBL5915707,18,-6.7
enpp3,CHEMBL5826130,18,-7.7
enpp2,CHEMBL5555976,18,-8.2
enpp3,CHEMBL5915707,18,-7.6
enpp2,CHEMBL6149286,18,-10.1
enpp2,CHEMBL6174154,18,-8.8
enpp3,CHEMBL5555976,18,-7.7
enpp2,TZV_native,18,-8.3
enpp3,CHEMBL6149286,18,-11.0
enpp3,CHEMBL6174154,18,-10.2
enpp3,CHEMBL5826130,18,-7.7
enpp3,TZV_native,18,-9.9
enpp3,CHEMBL5915707,18,-7.6
enpp1,CHEMBL5826130,19,-7.8
enpp3,CHEMBL5555976,18,-7.7
enpp1,CHEMBL5915707,19,-7.9
enpp3,CHEMBL6149286,18,-11.0
enpp1,CHEMBL5555976,19,-8.2
enpp3,CHEMBL6174154,18,-10.2
enpp3,TZV_native,18,-9.9
enpp1,CHEMBL6149286,19,-9.1
enpp1,CHEMBL6174154,19,-9.2
enpp1,CHEMBL5826130,19,-7.8
enpp1,TZV_native,19,-8.7
enpp1,CHEMBL5915707,19,-7.9
enpp2,CHEMBL5826130,19,-7.3
enpp1,CHEMBL5555976,19,-8.2
enpp2,CHEMBL5915707,19,-7.5
enpp1,CHEMBL6149286,19,-9.1
enpp1,CHEMBL6174154,19,-9.2
enpp2,CHEMBL5555976,19,-8.3
enpp1,TZV_native,19,-8.7
enpp2,CHEMBL6149286,19,-10.1
enpp2,CHEMBL5826130,19,-7.3
enpp2,CHEMBL6174154,19,-8.8
enpp2,TZV_native,19,-8.5
enpp2,CHEMBL5915707,19,-7.5
enpp3,CHEMBL5826130,19,-7.7
enpp2,CHEMBL5555976,19,-8.3
enpp3,CHEMBL5915707,19,-7.5
enpp2,CHEMBL6149286,19,-10.1
enpp3,CHEMBL5555976,19,-7.7
enpp2,CHEMBL6174154,19,-8.8
enpp2,TZV_native,19,-8.5
enpp3,CHEMBL6149286,19,-11.0
enpp3,CHEMBL6174154,19,-10.1
enpp3,CHEMBL5826130,19,-7.7
enpp3,TZV_native,19,-10.0
enpp3,CHEMBL5915707,19,-7.5
enpp1,CHEMBL5826130,20,-7.9
enpp3,CHEMBL5555976,19,-7.7
enpp1,CHEMBL5915707,20,-7.9
enpp3,CHEMBL6149286,19,-11.0
enpp1,CHEMBL5555976,20,-8.2
enpp3,CHEMBL6174154,19,-10.1
enpp1,CHEMBL6149286,20,-9.2
enpp3,TZV_native,19,-10.0
enpp1,CHEMBL6174154,20,-8.8
enpp1,CHEMBL5826130,20,-7.9
enpp1,TZV_native,20,-8.7
enpp1,CHEMBL5915707,20,-7.9
enpp2,CHEMBL5826130,20,-7.4
enpp1,CHEMBL5555976,20,-8.2
enpp2,CHEMBL5915707,20,-6.8
enpp1,CHEMBL6149286,20,-9.2
enpp1,CHEMBL6174154,20,-8.8
enpp2,CHEMBL5555976,20,-8.9
enpp1,TZV_native,20,-8.7
enpp2,CHEMBL6149286,20,-9.4
enpp2,CHEMBL5826130,20,-7.4
enpp2,CHEMBL6174154,20,-9.7
enpp2,TZV_native,20,-8.6
enpp2,CHEMBL5915707,20,-6.8
enpp3,CHEMBL5826130,20,-7.7
enpp2,CHEMBL5555976,20,-8.9
enpp3,CHEMBL5915707,20,-7.5
enpp2,CHEMBL6149286,20,-9.4
enpp3,CHEMBL5555976,20,-7.7
enpp2,CHEMBL6174154,20,-9.7
enpp2,TZV_native,20,-8.6
enpp3,CHEMBL6149286,20,-11.0
enpp3,CHEMBL6174154,20,-10.2
enpp3,CHEMBL5826130,20,-7.7
enpp3,TZV_native,20,-10.0
enpp3,CHEMBL5915707,20,-7.5
enpp3,CHEMBL5555976,20,-7.7
enpp3,CHEMBL6149286,20,-11.0
enpp3,CHEMBL6174154,20,-10.2
enpp3,TZV_native,20,-10.0
